State,X,Y,Year,NatGasC
CA,0,3,1985,"1,925,459"
CA,0,3,1986,"1,591,045"
CA,0,3,1987,"1,992,956"
CA,0,3,1988,"1,860,391"
CA,0,3,1989,"2,047,845"
CA,0,3,1990,"2,101,602"
CA,0,3,1991,"2,208,285"
CA,0,3,1992,"2,294,135"
CA,0,3,1993,"2,213,111"
CA,0,3,1994,"2,334,777"
CA,0,3,1995,"2,109,956"
CA,0,3,1996,"2,017,680"
CA,0,3,1997,"2,185,029"
CA,0,3,1998,"2,418,688"
CA,0,3,1999,"2,379,558"
CA,0,3,2000,"2,456,438"
CA,0,3,2001,"2,513,856"
CA,0,3,2002,"2,318,656"
CA,0,3,2003,"2,317,062"
CA,0,3,2004,"2,462,247"
CA,0,3,2005,"2,304,463"
CA,0,3,2006,"2,375,929"
CA,0,3,2007,"2,467,545"
CA,0,3,2008,"2,472,612"
CA,0,3,2009,"2,391,374"
CA,0,3,2010,"2,325,411"
CA,0,3,2011,"2,196,252"
CA,0,3,2012,"2,456,371"
CA,0,3,2013,"2,480,792"
CA,0,3,2014,"2,409,574"
CA,0,3,2015,"2,384,061"
CA,0,3,2016,"2,248,939"
CA,0,3,2017,"2,188,659"
CO,2,3,1960,"194,963"
CO,2,3,1961,"210,872"
CO,2,3,1962,"202,310"
CO,2,3,1963,"180,366"
CO,2,3,1964,"205,251"
CO,2,3,1965,"204,483"
CO,2,3,1966,"207,693"
CO,2,3,1967,"210,209"
CO,2,3,1968,"253,481"
CO,2,3,1969,"268,895"
CO,2,3,1970,"274,987"
CO,2,3,1971,"281,846"
CO,2,3,1972,"301,651"
CO,2,3,1973,"311,694"
CO,2,3,1974,"302,725"
CO,2,3,1975,"280,996"
CO,2,3,1976,"276,287"
CO,2,3,1977,"253,994"
CO,2,3,1978,"234,600"
CO,2,3,1979,"260,824"
CO,2,3,1980,"254,569"
CO,2,3,1981,"210,509"
CO,2,3,1982,"224,991"
CO,2,3,1983,"215,094"
CO,2,3,1984,"230,105"
CO,2,3,1985,"218,723"
CO,2,3,1986,"198,439"
CO,2,3,1987,"210,148"
CO,2,3,1988,"228,950"
CO,2,3,1989,"249,848"
CO,2,3,1990,"247,756"
CO,2,3,1991,"275,761"
CO,2,3,1992,"266,362"
CO,2,3,1993,"294,917"
CO,2,3,1994,"280,366"
CO,2,3,1995,"295,686"
CO,2,3,1996,"322,813"
CO,2,3,1997,"318,292"
CO,2,3,1998,"334,257"
CO,2,3,1999,"335,458"
CO,2,3,2000,"370,911"
CO,2,3,2001,"469,766"
CO,2,3,2002,"463,532"
CO,2,3,2003,"442,361"
CO,2,3,2004,"446,103"
CO,2,3,2005,"483,960"
CO,2,3,2006,"465,259"
